Shape_ID;Top_Rad;Bottom_Rad;Angle;Edges;Height;Bevel_Offset;Bevel_Height;Bevel_Weight;T1;T2;T3;T4;T5;Average_Cd;Outcome
Shape_7099;86;3;348;50;137;0;0;0;0.2;0.18;0.18;0.21;0.21;0.19;Optimal
Shape_7101;13;82;240;34;157;4;4;-2;0.25;0.23;0.24;0.24;0.23;0.23;Optimal
Shape_7116;103;14;246;14;15;3;2;3;0.25;0.24;0.21;0.24;0.23;0.23;Optimal
Shape_7120;96;128;267;53;81;-2;2;3;0.23;0.26;0.24;0.24;0.25;0.25;Optimal
Shape_7121;20;3;122;38;29;-1;5;2;0.24;0.26;0.26;0.24;0.22;0.24;Optimal
Shape_7128;33;20;278;33;88;5;3;1;0.17;0.16;0.18;0.18;0.18;0.18;Optimal
Shape_7134;41;24;255;49;308;3;9;3;0.18;0.19;0.22;0.19;0.18;0.2;Optimal
Shape_7139;71;136;321;49;86;1;13;1;0.25;0.23;0.25;0.24;0.25;0.25;Optimal
Shape_7144;22;13;253;44;61;3;8;2;0.15;0.16;0.14;0.16;0.17;0.16;Optimal
Shape_7145;72;20;357;48;344;1;18;1;0.23;0.21;0.19;0.2;0.2;0.21;Optimal
Shape_7148;10;67;335;53;347;-1;7;2;0.17;0.18;0.16;0.19;0.16;0.18;Optimal
Shape_7149;9;69;323;14;174;5;11;-2;0.2;0.21;0.19;0.21;0.21;0.2;Optimal
Shape_7161;115;68;294;45;151;8;9;2;0.26;0.24;0.25;0.25;0.24;0.25;Optimal
Shape_7163;54;91;279;60;129;5;6;3;0.19;0.18;0.17;0.19;0.18;0.19;Optimal
Shape_7178;143;85;321;49;136;6;1;3;0.22;0.22;0.25;0.23;0.23;0.23;Optimal
Shape_7179;43;13;277;59;254;1;14;-1;0.21;0.19;0.19;0.2;0.2;0.2;Optimal
Shape_7196;109;66;333;49;131;-1;16;3;0.18;0.19;0.22;0.2;0.19;0.2;Optimal
Shape_7197;15;95;358;46;287;0;0;0;0.24;0.23;0.23;0.23;0.21;0.23;Optimal
Shape_7199;91;96;335;52;110;-1;3;-2;0.21;0.19;0.19;0.18;0.22;0.2;Optimal
Shape_7205;134;16;345;33;218;-3;19;1;0.24;0.23;0.24;0.24;0.27;0.25;Optimal
Shape_7209;75;31;345;13;115;0;0;0;0.24;0.25;0.22;0.24;0.25;0.24;Optimal
Shape_7213;21;110;291;24;104;-2;12;-1;0.27;0.26;0.26;0.25;0.27;0.25;Optimal
Shape_7215;46;33;343;30;87;8;16;0;0.2;0.19;0.19;0.21;0.2;0.19;Optimal
Shape_7239;8;110;260;50;111;4;15;-1;0.24;0.24;0.21;0.22;0.21;0.23;Optimal
Shape_7241;47;21;261;45;36;-1;4;-1;0.19;0.18;0.19;0.2;0.19;0.19;Optimal
Shape_7243;116;21;325;22;101;4;7;1;0.24;0.24;0.24;0.22;0.22;0.23;Optimal
Shape_7255;87;7;298;21;83;-2;5;1;0.21;0.22;0.21;0.21;0.22;0.22;Optimal
Shape_7268;89;11;209;59;228;4;5;2;0.26;0.27;0.27;0.26;0.26;0.25;Optimal
Shape_7275;42;18;285;34;155;6;5;-1;0.2;0.19;0.2;0.18;0.19;0.2;Optimal
Shape_7279;8;23;291;11;122;-4;8;0;0.23;0.2;0.24;0.23;0.2;0.22;Optimal
Shape_7289;40;39;287;21;141;3;3;0;0.24;0.24;0.24;0.23;0.26;0.24;Optimal
Shape_7297;28;69;309;48;102;8;2;1;0.18;0.18;0.18;0.18;0.18;0.17;Optimal
Shape_7299;42;56;306;38;280;4;14;1;0.22;0.23;0.24;0.24;0.25;0.24;Optimal
Shape_7304;56;46;352;17;273;4;14;2;0.19;0.21;0.21;0.22;0.21;0.21;Optimal
Shape_7305;92;112;321;62;195;8;11;-2;0.23;0.22;0.23;0.21;0.23;0.23;Optimal
Shape_7308;23;161;328;29;299;8;1;3;0.22;0.25;0.26;0.23;0.22;0.24;Optimal
Shape_7316;29;3;335;18;106;0;0;0;0.19;0.21;0.19;0.21;0.21;0.2;Optimal
Shape_7317;11;21;276;56;220;2;2;2;0.15;0.14;0.15;0.14;0.16;0.15;Optimal
Shape_7318;56;87;321;20;216;3;4;-2;0.24;0.26;0.25;0.24;0.26;0.24;Optimal
Shape_7333;30;110;349;17;68;1;11;0;0.24;0.23;0.22;0.26;0.24;0.24;Optimal
Shape_7350;15;30;283;51;295;0;0;0;0.22;0.25;0.24;0.26;0.25;0.24;Optimal
Shape_7352;54;33;326;33;254;1;8;0;0.23;0.23;0.23;0.22;0.24;0.23;Optimal
Shape_7356;10;39;283;3;105;3;15;0;0.24;0.26;0.25;0.24;0.25;0.25;Optimal
Shape_7359;36;16;259;46;263;-1;9;0;0.24;0.26;0.25;0.26;0.25;0.25;Optimal
Shape_7377;47;28;290;27;151;5;1;-1;0.22;0.19;0.21;0.22;0.23;0.21;Optimal
Shape_7392;50;81;345;38;201;9;3;-1;0.19;0.2;0.19;0.2;0.2;0.2;Optimal
Shape_7393;28;32;296;34;264;6;15;3;0.16;0.17;0.17;0.17;0.17;0.18;Optimal
Shape_7394;128;13;298;12;81;4;12;2;0.26;0.24;0.27;0.24;0.26;0.25;Optimal
Shape_7399;25;78;286;32;63;0;0;0;0.23;0.26;0.27;0.25;0.25;0.25;Optimal
Shape_7403;128;75;354;12;34;6;14;3;0.23;0.2;0.22;0.2;0.21;0.22;Optimal
Shape_7406;102;6;337;58;77;9;2;0;0.18;0.15;0.15;0.19;0.18;0.17;Optimal
Shape_7411;34;104;300;47;226;3;3;2;0.23;0.22;0.22;0.24;0.21;0.22;Optimal
Shape_7412;26;33;220;22;169;2;10;3;0.25;0.25;0.25;0.23;0.24;0.23;Optimal
Shape_7414;37;12;289;16;266;7;15;-2;0.21;0.24;0.21;0.21;0.23;0.22;Optimal
Shape_7416;18;119;304;21;164;8;10;-1;0.23;0.26;0.24;0.24;0.24;0.25;Optimal
Shape_7427;28;30;226;34;177;-4;5;-1;0.26;0.24;0.23;0.25;0.25;0.25;Optimal
Shape_7430;67;20;250;53;232;-1;17;-2;0.22;0.23;0.25;0.25;0.24;0.23;Optimal
Shape_7438;75;69;265;43;130;8;2;2;0.22;0.23;0.24;0.22;0.24;0.23;Optimal
Shape_7451;39;63;319;57;275;-4;9;-1;0.23;0.21;0.2;0.23;0.21;0.21;Optimal
Shape_7456;35;29;278;28;133;5;18;3;0.17;0.16;0.19;0.19;0.17;0.18;Optimal
